"ENTREZ","symbol_name","ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5201","PFDN1","ENSG00000113068",278,448.666666666667,2.35882518890718,0.0680851679278159,0.21731472632151,-4.54969399502702
"5710","PSMD4","ENSG00000159352",502,819.333333333333,2.35847577062523,0.0681137172507549,0.217351989198902,-4.54970326346951
"25824","PRDX5","ENSG00000126432",478.666666666667,561.333333333333,2.35843580480583,0.0681169835028203,0.217351989198902,-4.54970432367713
"8065","CUL5","ENSG00000166266",206.333333333333,1258.16666666667,2.35753291949928,0.0681908184310751,0.217528270875636,-4.54972828077531
"23167","EFR3A","ENSG00000132294",629,2583.5,2.35751375440536,0.0681923866350624,0.217528270875636,-4.54972878941448
"84240","ZCCHC9","ENSG00000131732",90,199.333333333333,2.35732506613663,0.0682078283540507,0.217542199464084,-4.54973379742989
"56965","PARP6","ENSG00000137817",666.333333333334,1362.5,2.35721409462264,0.0682169117348339,0.217542199464084,-4.54973674296266
"4556","TRNE",NA,1441.66666666667,1170.16666666667,2.35690072385682,0.0682425692877918,0.217591870725131,-4.54974506166453
"84888","SPPL2A","ENSG00000138600",298.666666666667,1050,2.35644460158626,0.0682799335998843,0.217634528711848,-4.54975717209187
"9265","CYTH3","ENSG00000008256",112.666666666667,324.333333333333,2.35636347264084,0.0682865818050161,0.217634528711848,-4.54975932641402
"63933","MCUR1","ENSG00000050393",415.666666666667,465.833333333333,2.35629340338708,0.0682923242797894,0.217634528711848,-4.54976118712209
"25816","TNFAIP8","ENSG00000145779",915.333333333333,2968,2.35616547867652,0.0683028096166221,0.217634528711848,-4.54976458436076
"2811","GP1BA","ENSG00000185245",482.666666666667,591.333333333333,2.35612209438204,0.0683063660053773,0.217634528711848,-4.54976573654574
"55145","THAP1","ENSG00000131931",186,265.333333333333,2.35547144881473,0.0683597263549859,0.217695260129614,-4.54978301907418
"101929340","ESAM-AS1","ENSG00000250073",-26,22.3333333333333,-2.35543679893327,0.0683625693162081,0.217695260129614,-4.54978393960168
"10146","G3BP1","ENSG00000145907",760.666666666669,4505.33333333333,2.35543511460247,0.0683627075158485,0.217695260129614,-4.54978398434892
"10682","EBP","ENSG00000147155",80.0000000000001,212.333333333333,2.35525497660944,0.0683774896310348,0.217695260129614,-4.54978877024556
"55920","RCC2","ENSG00000179051",665,1865.5,2.35521303762156,0.0683809316431997,0.217695260129614,-4.5497898845384
"107986455","LOC107986455",NA,-143,154.833333333333,-2.35515194961013,0.0683859455904545,0.217695260129614,-4.54979150764945
"1454","CSNK1E","ENSG00000213923",163.333333333333,301,2.35419970483708,0.0684641553151145,0.217912087327255,-4.54981681505315
"286749","STON1-GTF2A1L","ENSG00000068781",33.3333333333333,44,2.35318552732811,0.0685475590934229,0.21812635528822,-4.54984378127299
"102723342","LOC102723342",NA,126.333333333333,283.166666666667,2.35301622318477,0.0685614931028039,0.21812635528822,-4.54984828423509
"311","ANXA11","ENSG00000122359",1514,3982.33333333333,2.3530125707374,0.0685617937392986,0.21812635528822,-4.54984838138287
